index,buying,maint,doors,persons,lug_boot,safety,class
0,vhigh,vhigh,two,two,small,low,unacc
1,vhigh,vhigh,two,two,small,med,unacc
2,vhigh,vhigh,two,two,small,high,unacc
3,vhigh,vhigh,two,two,med,low,unacc
4,vhigh,vhigh,two,two,med,med,unacc
5,vhigh,vhigh,two,two,med,high,unacc
6,vhigh,vhigh,two,two,big,low,unacc
7,vhigh,vhigh,two,two,big,med,unacc
8,vhigh,vhigh,two,two,big,high,unacc
9,vhigh,vhigh,two,four,small,low,unacc
10,vhigh,vhigh,two,four,small,med,unacc
11,vhigh,vhigh,two,four,small,high,unacc
12,vhigh,vhigh,two,four,med,low,unacc
13,vhigh,vhigh,two,four,med,med,unacc
14,vhigh,vhigh,two,four,med,high,unacc
15,vhigh,vhigh,two,four,big,low,unacc
16,vhigh,vhigh,two,four,big,med,unacc
17,vhigh,vhigh,two,four,big,high,unacc
18,vhigh,vhigh,two,more,small,low,unacc
19,vhigh,vhigh,two,more,small,med,unacc
20,vhigh,vhigh,two,more,small,high,unacc
21,vhigh,vhigh,two,more,med,low,unacc
22,vhigh,vhigh,two,more,med,med,unacc
23,vhigh,vhigh,two,more,med,high,unacc
24,vhigh,vhigh,two,more,big,low,unacc
25,vhigh,vhigh,two,more,big,med,unacc
26,vhigh,vhigh,two,more,big,high,unacc
27,vhigh,vhigh,three,two,small,low,unacc
28,vhigh,vhigh,three,two,small,med,unacc
29,vhigh,vhigh,three,two,small,high,unacc
30,vhigh,vhigh,three,two,med,low,unacc
31,vhigh,vhigh,three,two,med,med,unacc
32,vhigh,vhigh,three,two,med,high,unacc
33,vhigh,vhigh,three,two,big,low,unacc
34,vhigh,vhigh,three,two,big,med,unacc
35,vhigh,vhigh,three,two,big,high,unacc
36,vhigh,vhigh,three,four,small,low,unacc
37,vhigh,vhigh,three,four,small,med,unacc
38,vhigh,vhigh,three,four,small,high,unacc
39,vhigh,vhigh,three,four,med,low,unacc
40,vhigh,vhigh,three,four,med,med,unacc
41,vhigh,vhigh,three,four,med,high,unacc
42,vhigh,vhigh,three,four,big,low,unacc
43,vhigh,vhigh,three,four,big,med,unacc
44,vhigh,vhigh,three,four,big,high,unacc
45,vhigh,vhigh,three,more,small,low,unacc
46,vhigh,vhigh,three,more,small,med,unacc
47,vhigh,vhigh,three,more,small,high,unacc
